FID,Sample_Name,PID,MID,Sex,Phenotype,admixture_row,State,state_abbr,index,index_new_county_state,Latitude,Longitude,County,Species,Accession,Planting_Number
0,Quercus_002,0,0,0,-9,1,Louisiana,LA,05,05-Union (AR/LA),32.89079,-92.3645,Union,Quercus arkansana,2021-2138,7
0,Quercus_003,0,0,0,-9,2,Arkansas,AR,02,02-Hempstead (AR),33.78853,-93.644142,Hempstead,Quercus arkansana,2021-2173,4
0,Quercus_004,0,0,0,-9,3,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.711624,-92.997044,Ouachita,Quercus arkansana,2021-2175,5
0,Quercus_005,0,0,0,-9,4,Louisiana,LA,05,05-Union (AR/LA),32.8913,-92.3648,Union,Quercus arkansana,2021-2144,7
0,Quercus_010,0,0,0,-9,5,Arkansas,AR,02,02-Hempstead (AR),33.767761,-93.648295,Hempstead,Quercus arkansana,2021-2160,5
0,Quercus_012,0,0,0,-9,6,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.679448,-93.16628,Nevada,Quercus arkansana,2021-2169,8
0,Quercus_013,0,0,0,-9,7,Louisiana,LA,05,05-Union (AR/LA),32.89142,-92.36463,Union,Quercus arkansana,2021-2142,9
0,Quercus_014,0,0,0,-9,8,Arkansas,AR,02,02-Hempstead (AR),33.73705,-93.86183,Hempstead,Quercus arkansana,2021-2156,3
0,Quercus_018,0,0,0,-9,9,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.65779,-93.17231,Nevada,Quercus arkansana,2021-2168,3
0,Quercus_019,0,0,0,-9,10,Louisiana,LA,05,05-Union (AR/LA),32.89208,-92.36302,Union,Quercus arkansana,2021-2129,6
0,Quercus_020,0,0,0,-9,11,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.65793,-93.17241,Nevada,Quercus arkansana,2021-2167,4
0,Quercus_021,0,0,0,-9,12,Louisiana,LA,05,05-Union (AR/LA),32.8922,-92.36298,Union,Quercus arkansana,2021-2131,6
0,Quercus_023,0,0,0,-9,13,Louisiana,LA,05,05-Union (AR/LA),32.8914,-92.36477,Union,Quercus arkansana,2021-2143,5
0,Quercus_026,0,0,0,-9,14,Arkansas,AR,02,02-Hempstead (AR),33.768963,-93.648914,Hempstead,Quercus arkansana,2021-2165,2
0,Quercus_031,0,0,0,-9,15,Arkansas,AR,02,02-Hempstead (AR),33.78853,-93.644142,Hempstead,Quercus arkansana,2021-2173,3
0,Quercus_033,0,0,0,-9,16,Louisiana,LA,05,05-Union (AR/LA),32.89208,-92.36302,Union,Quercus arkansana,2021-2129,9
0,Quercus_034,0,0,0,-9,17,Arkansas,AR,02,02-Hempstead (AR),33.769511,-93.648306,Hempstead,Quercus arkansana,2021-2163,8
0,Quercus_035,0,0,0,-9,18,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.711624,-92.997044,Ouachita,Quercus arkansana,2021-2175,4
0,Quercus_048,0,0,0,-9,19,Arkansas,AR,02,02-Hempstead (AR),33.769445,-93.648478,Hempstead,Quercus arkansana,2021-2164,7
0,Quercus_049,0,0,0,-9,20,Mississippi,MS,06,06-Covington (MS),31.64054,-89.5579229,Covington,Quercus arkansana,2021-2128,3
0,Quercus_050,0,0,0,-9,21,Mississippi,MS,06,06-Covington (MS),31.64054,-89.5579229,Covington,Quercus arkansana,2021-2128,7
0,Quercus_054,0,0,0,-9,22,Arkansas,AR,02,02-Hempstead (AR),33.7368,-93.8604,Hempstead,Quercus arkansana,2021-2155,5
0,Quercus_056,0,0,0,-9,23,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.679448,-93.16628,Nevada,Quercus arkansana,2021-2169,3
0,Quercus_058,0,0,0,-9,24,Arkansas,AR,02,02-Hempstead (AR),33.767761,-93.648295,Hempstead,Quercus arkansana,2021-2160,4
0,Quercus_059,0,0,0,-9,25,Arkansas,AR,02,02-Hempstead (AR),33.78853,-93.644142,Hempstead,Quercus arkansana,2021-2173,2
0,Quercus_061,0,0,0,-9,26,Louisiana,LA,05,05-Union (AR/LA),32.89208,-92.36302,Union,Quercus arkansana,2021-2129,5
0,Quercus_063,0,0,0,-9,27,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.711624,-92.997044,Ouachita,Quercus arkansana,2021-2175,6
0,Quercus_064,0,0,0,-9,28,Louisiana,LA,05,05-Union (AR/LA),32.89226,-92.36326,Union,Quercus arkansana,2021-2132,7
0,Quercus_065,0,0,0,-9,29,Louisiana,LA,05,05-Union (AR/LA),32.8913,-92.3648,Union,Quercus arkansana,2021-2144,5
0,Quercus_069,0,0,0,-9,30,Louisiana,LA,05,05-Union (AR/LA),32.89212,-92.36307,Union,Quercus arkansana,2021-2130,3
0,Quercus_072,0,0,0,-9,31,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.65793,-93.17241,Nevada,Quercus arkansana,2021-2167,5
0,Quercus_075,0,0,0,-9,32,Louisiana,LA,05,05-Union (AR/LA),32.8914,-92.36477,Union,Quercus arkansana,2021-2143,2
0,Quercus_076,0,0,0,-9,33,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.6862,-93.116322,Nevada,Quercus arkansana,2021-2170,6
0,Quercus_078,0,0,0,-9,34,Arkansas,AR,02,02-Hempstead (AR),33.767761,-93.648295,Hempstead,Quercus arkansana,2021-2160,10
0,Quercus_080,0,0,0,-9,35,Arkansas,AR,02,02-Hempstead (AR),33.768462,-93.64827,Hempstead,Quercus arkansana,2021-2159,4
0,Quercus_082,0,0,0,-9,36,Louisiana,LA,05,05-Union (AR/LA),32.89226,-92.36326,Union,Quercus arkansana,2021-2132,6
0,Quercus_085,0,0,0,-9,37,Arkansas,AR,02,02-Hempstead (AR),33.768963,-93.648914,Hempstead,Quercus arkansana,2021-2165,3
0,Quercus_086,0,0,0,-9,38,Louisiana,LA,05,05-Union (AR/LA),32.89208,-92.36302,Union,Quercus arkansana,2021-2129,2
0,Quercus_087,0,0,0,-9,39,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.679448,-93.16628,Nevada,Quercus arkansana,2021-2169,4
0,Quercus_090,0,0,0,-9,40,Louisiana,LA,05,05-Union (AR/LA),32.89142,-92.36463,Union,Quercus arkansana,2021-2142,5
0,Quercus_092,0,0,0,-9,41,Louisiana,LA,01,01-Caddo (LA),32.99099,-94.01617,Caddo,Quercus arkansana,2021-2150,4
0,Quercus_094,0,0,0,-9,42,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.679448,-93.16628,Nevada,Quercus arkansana,2021-2169,6
0,Quercus_099,0,0,0,-9,43,Louisiana,LA,05,05-Union (AR/LA),32.89142,-92.36463,Union,Quercus arkansana,2021-2142,11
0,Quercus_100,0,0,0,-9,44,Arkansas,AR,02,02-Hempstead (AR),33.7368,-93.8604,Hempstead,Quercus arkansana,2021-2155,4
0,Quercus_101,0,0,0,-9,45,Louisiana,LA,05,05-Union (AR/LA),32.89093,-92.36458,Union,Quercus arkansana,2021-2139,11
0,Quercus_102,0,0,0,-9,46,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.6862,-93.116322,Nevada,Quercus arkansana,2021-2170,5
0,Quercus_103,0,0,0,-9,47,Arkansas,AR,02,02-Hempstead (AR),33.769511,-93.648306,Hempstead,Quercus arkansana,2021-2163,4
0,Quercus_104,0,0,0,-9,48,Arkansas,AR,02,02-Hempstead (AR),33.768616,-93.648285,Hempstead,Quercus arkansana,2021-2158,5
0,Quercus_111,0,0,0,-9,49,Louisiana,LA,05,05-Union (AR/LA),32.89137,-92.36497,Union,Quercus arkansana,2021-2145,7
0,Quercus_114,0,0,0,-9,50,Louisiana,LA,05,05-Union (AR/LA),32.89093,-92.36458,Union,Quercus arkansana,2021-2139,7
0,Quercus_115,0,0,0,-9,51,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.6862,-93.116322,Nevada,Quercus arkansana,2021-2170,2
0,Quercus_117,0,0,0,-9,52,Arkansas,AR,02,02-Hempstead (AR),33.769443,-93.648149,Hempstead,Quercus arkansana,2021-2157,6
0,Quercus_118,0,0,0,-9,53,Mississippi,MS,06,06-Covington (MS),31.64054,-89.5579229,Covington,Quercus arkansana,2021-2128,2
0,Quercus_121,0,0,0,-9,54,Arkansas,AR,02,02-Hempstead (AR),33.767761,-93.648295,Hempstead,Quercus arkansana,2021-2160,3
0,Quercus_122,0,0,0,-9,55,Louisiana,LA,01,01-Caddo (LA),32.99099,-94.01617,Caddo,Quercus arkansana,2021-2150,3
0,Quercus_123,0,0,0,-9,56,Louisiana,LA,05,05-Union (AR/LA),32.89212,-92.36307,Union,Quercus arkansana,2021-2130,4
0,Quercus_124,0,0,0,-9,57,Louisiana,LA,01,01-Caddo (LA),32.99099,-94.01617,Caddo,Quercus arkansana,2021-2150,2
0,Quercus_126,0,0,0,-9,58,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.679448,-93.16628,Nevada,Quercus arkansana,2021-2169,2
0,Quercus_127,0,0,0,-9,59,Arkansas,AR,02,02-Hempstead (AR),33.73726,-93.86207,Hempstead,Quercus arkansana,2021-2153,5
0,Quercus_128,0,0,0,-9,60,Louisiana,LA,05,05-Union (AR/LA),32.8922,-92.36298,Union,Quercus arkansana,2021-2131,7
0,Quercus_129,0,0,0,-9,61,Arkansas,AR,02,02-Hempstead (AR),33.73705,-93.86183,Hempstead,Quercus arkansana,2021-2156,6
0,Quercus_131,0,0,0,-9,62,Arkansas,AR,02,02-Hempstead (AR),33.768616,-93.648285,Hempstead,Quercus arkansana,2021-2158,6
0,Quercus_135,0,0,0,-9,63,Arkansas,AR,02,02-Hempstead (AR),33.767761,-93.648295,Hempstead,Quercus arkansana,2021-2160,6
0,Quercus_138,0,0,0,-9,64,Louisiana,LA,05,05-Union (AR/LA),32.89231,-92.36312,Union,Quercus arkansana,2021-2135,4
0,Quercus_140,0,0,0,-9,65,Louisiana,LA,01,01-Caddo (LA),32.99099,-94.01617,Caddo,Quercus arkansana,2021-2150,5
0,Quercus_142,0,0,0,-9,66,Louisiana,LA,05,05-Union (AR/LA),32.8914,-92.36477,Union,Quercus arkansana,2021-2143,6
0,Quercus_144,0,0,0,-9,67,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.658186,-93.171023,Nevada,Quercus arkansana,2021-2166,5
0,Quercus_145,0,0,0,-9,68,Arkansas,AR,02,02-Hempstead (AR),33.73705,-93.86183,Hempstead,Quercus arkansana,2021-2156,5
0,Quercus_147,0,0,0,-9,69,Louisiana,LA,05,05-Union (AR/LA),32.8914,-92.36477,Union,Quercus arkansana,2021-2143,3
0,Quercus_150,0,0,0,-9,70,Mississippi,MS,06,06-Covington (MS),31.64054,-89.5579229,Covington,Quercus arkansana,2021-2128,6
0,Quercus_152,0,0,0,-9,71,Louisiana,LA,05,05-Union (AR/LA),32.89236,-92.3632,Union,Quercus arkansana,2021-2134,2
0,Quercus_157,0,0,0,-9,72,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.711624,-92.997044,Ouachita,Quercus arkansana,2021-2175,7
0,Quercus_158,0,0,0,-9,73,Louisiana,LA,05,05-Union (AR/LA),32.89093,-92.36458,Union,Quercus arkansana,2021-2139,3
0,Quercus_159,0,0,0,-9,74,Louisiana,LA,05,05-Union (AR/LA),32.89226,-92.36326,Union,Quercus arkansana,2021-2132,4
0,Quercus_163,0,0,0,-9,75,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.65779,-93.17231,Nevada,Quercus arkansana,2021-2168,6
0,Quercus_165,0,0,0,-9,76,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.658186,-93.171023,Nevada,Quercus arkansana,2021-2166,4
0,Quercus_169,0,0,0,-9,77,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.708172,-93.084421,Ouachita,Quercus arkansana,2021-2172,3
0,Quercus_170,0,0,0,-9,78,Louisiana,LA,05,05-Union (AR/LA),32.8922,-92.36298,Union,Quercus arkansana,2021-2131,9
0,Quercus_173,0,0,0,-9,79,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.679448,-93.16628,Nevada,Quercus arkansana,2021-2169,7
0,Quercus_180,0,0,0,-9,80,Louisiana,LA,01,01-Caddo (LA),32.99099,-94.01617,Caddo,Quercus arkansana,2021-2150,6
0,Quercus_181,0,0,0,-9,81,Arkansas,AR,02,02-Hempstead (AR),33.769507,-93.648929999999993,Hempstead,Quercus arkansana,2021-2162,2
0,Quercus_185,0,0,0,-9,82,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.68607,-93.11569,Nevada,Quercus arkansana,2021-2171,7
0,Quercus_186,0,0,0,-9,83,Arkansas,AR,02,02-Hempstead (AR),33.769511,-93.648306,Hempstead,Quercus arkansana,2021-2163,9
0,Quercus_187,0,0,0,-9,84,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.65779,-93.17231,Nevada,Quercus arkansana,2021-2168,8
0,Quercus_189,0,0,0,-9,85,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.65779,-93.17231,Nevada,Quercus arkansana,2021-2168,5
0,Quercus_190,0,0,0,-9,86,Louisiana,LA,05,05-Union (AR/LA),32.89142,-92.36463,Union,Quercus arkansana,2021-2142,2
0,Quercus_194,0,0,0,-9,87,Arkansas,AR,02,02-Hempstead (AR),33.769443,-93.648149,Hempstead,Quercus arkansana,2021-2157,4
0,Quercus_196,0,0,0,-9,88,Louisiana,LA,05,05-Union (AR/LA),32.89236,-92.3632,Union,Quercus arkansana,2021-2134,4
0,Quercus_198,0,0,0,-9,89,Arkansas,AR,02,02-Hempstead (AR),33.767761,-93.648295,Hempstead,Quercus arkansana,2021-2160,9
